numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
229393,306,"02/13/18 03:30:00","02/13/18 19:00:00","5","50","Gel du controle aval (corth)",,"03/15/18 12:17:00","02/16/18 14:32:00"
229394,306,"02/25/18 23:10:00","02/28/18 21:40:00","4","42","Gel station : données reconstituées bonnes ",,"03/15/18 12:16:00","03/15/18 12:16:00"
229395,306,"10/03/21 11:30:00","10/04/21 07:40:00","1","17","Le capteur à totalement dérivé pendant le coup d'eau. Un levé des laisse de crue à eu lieu le 06 octobre .
Levée laisse de crue visé niveau =2.70 m 
Laisse RD proche échelle =2.70 -1.50 (- 1.54 et -1.47) = 1.20m 
Laisse RG =2.70- 1.60 = 1.10m 
Moyenne des laisses 1.15 m avec les reclages capteurs et le limni cote maxi retenue = 1.156 m le 03/10/2021 à 23h45",,"12/01/21 08:44:00","12/01/21 08:44:00"
229396,306,"09/18/21 16:55:00","09/23/21 18:25:00","1","17","Dérive capteur données reconstituées bonnes en QMJ à partir des stations avoisinantes.",,"12/01/21 08:47:00","12/01/21 08:46:00"
229397,306,"01/13/22 00:00:00","01/27/22 23:59:00","4","42","Gel par intermitence le 13,14,15,16 et 22,24,25,26,27 janvier : données reconstituées bonnes (avec l'aide de chambon) ",,"02/02/22 08:35:00","02/02/22 08:29:00"
229398,306,"12/21/21 03:02:00","12/22/21 13:15:00","4","42","Gel : données reconstituées bonnes ",,"01/04/22 16:52:00","01/04/22 16:50:00"
229399,306,"04/08/22 00:00:00",,"2","26","Modif de l'extrap des courbes de tarrage avec Baratin avril 2022 depuis 2015 (réfection du pont)",,"04/08/22 11:34:00","04/08/22 11:34:00"
229400,306,"01/13/24 00:00:00","01/14/24 00:00:00","5","50","Gel données reconstituées bonnes",,"02/12/24 15:26:00","02/12/24 15:26:00"
229401,306,"01/13/25 00:00:00","01/15/25 23:59:00","5","50","Gel intermitent :  données reconstituées bonnes",,"02/04/25 08:15:00","02/03/25 16:32:00"
229402,307,"10/01/07 00:00:00",,"5","50","A partir de octobre 2007 gestion de la station par la DIREN CENTRE
station jusque là gérée par la DIREN AUVERGNE",,"01/08/09 18:12:00","01/08/09 18:12:00"
229403,307,"10/01/07 00:00:00",,"2","26","nouvelle courbe de tarage suite à changement de gestionnaire",,"01/08/09 18:14:00","01/08/09 18:14:00"
