noct,ladate
10973,"06/05/24 11:19:00"
10973,"04/23/24 08:28:00"
10973,"02/06/24 10:58:00"
-62,"02/02/21 09:38:00"
-2,"02/02/21 09:38:00"
-58,"10/28/20 11:09:00"
-175,"01/07/94 00:00:00"
-175,"01/20/98 00:00:00"
-175,"02/02/21 13:45:00"
-175,"03/06/20 13:30:00"
-175,"02/15/16 10:45:00"
-175,"01/06/18 14:50:00"
-81,"01/07/94 00:00:00"
-81,"01/20/98 00:00:00"
-81,"02/02/21 13:45:00"
-81,"03/06/20 13:30:00"
-81,"02/15/16 10:45:00"
-81,"01/06/18 14:50:00"
-106,"02/04/21 13:50:00"
-106,"05/31/16 10:10:00"
